length_url,length_hostname,num_special_chars,num_digits,subdomain_count,domain_age,web_traffic,page_rank,google_index,status_encoded
37,19,111,0,3,-1,0,4,1,0
77,23,77,0,1,5767,0,2,1,1
126,50,504,126,4,4004,5828815,0,1,1
18,11,36,0,2,-1,107721,3,0,0
55,15,110,110,2,8175,8725,6,0,0
32,24,96,32,3,-1,0,0,1,1
19,12,38,0,2,7529,0,1,0,0
81,27,162,0,2,5767,0,2,1,1
42,34,84,0,2,7298,0,5,0,0
104,10,104,1040,1,9368,6774,5,0,0
56,22,168,0,3,-1,1627089,2,0,0
43,16,86,129,2,7911,944,6,0,0
83,14,83,747,1,1505,158942,4,0,0
31,10,62,0,2,1761,1173197,4,1,1
25,16,50,0,2,2041,4297684,2,0,0
51,23,153,0,3,3892,0,4,0,1
31,22,62,0,2,8301,99386,4,0,0
50,21,100,0,2,2316,0,0,1,1
34,23,68,0,2,2935,0,0,1,1
27,19,54,0,2,3932,927214,2,0,0
63,14,189,126,3,8759,26017,5,0,0
66,16,132,264,2,5647,1040,6,0,0
40,11,80,0,2,1184,0,0,1,1
48,16,48,144,1,3476,4672316,4,0,0
126,50,504,126,4,3993,5707171,0,1,1
41,32,82,0,2,7296,0,5,1,1
36,27,72,0,2,6989,2203390,4,0,0
72,24,144,504,2,4845,5964,5,0,0
68,42,272,0,4,3993,5707171,0,1,1
163,14,652,1467,4,-1,0,0,1,1
26,18,52,0,2,1170,390047,4,0,0
64,17,128,0,2,1237,0,1,1,1
36,28,144,0,4,5627,0,5,1,1
61,14,122,0,2,3767,9264543,0,1,1
66,17,132,0,2,9316,13,7,0,0
35,26,70,0,2,7849,0,4,0,0
113,24,565,0,5,3920,0,2,0,1
41,34,82,164,2,5159,0,8,0,0
23,12,46,23,2,-1,74862,3,0,0
31,24,62,31,2,5230,5828226,7,0,0
84,30,168,168,2,3125,0,1,1,1
29,17,58,0,2,5026,544886,4,1,1
98,26,196,196,2,2300,0,2,1,1
15,8,15,0,1,2580,1671658,2,0,0
65,22,130,0,2,5825,7698,7,0,0
131,27,262,131,2,8019,0,4,1,1
50,23,100,50,2,7839,607,6,0,0
51,32,102,0,2,2306,0,0,1,1
45,11,135,0,3,-1,6431,6,0,0
159,14,318,0,2,1500,0,0,1,1
44,22,88,44,2,2739,11657,6,1,1
103,19,309,103,3,134,1508317,2,1,1
46,20,184,0,4,7802,0,5,1,1
45,16,90,0,2,7133,12,7,0,0
51,26,153,0,3,1690,0,2,1,1
38,19,114,0,3,1588,0,0,1,1
81,27,162,0,2,5767,0,2,1,1
112,31,224,1120,2,7615,2190,5,0,0
39,16,78,0,2,8348,1,10,0,1
99,15,198,198,2,8348,1,10,1,1
45,27,90,45,2,6989,2203390,4,1,0
60,35,300,60,5,5615,0,5,1,1
